Data,precipitation-NIN 1.2,precipitation-NIN 3,precipitation-NIN 3.4,precipitation-NIN 4_1,precipitation-NIN 4_2,precipitation-NE
2000-01-01,1.6908475e-06,1.01983405e-05,9.812242e-06,1.8412931e-05,9.719045e-06,1.00918305e-05
2000-01-02,2.050194e-06,1.1970931e-05,9.2465125e-06,1.6649228e-05,7.856784e-06,2.5359112e-05
2000-01-03,3.9937104e-06,1.15985e-05,8.932041e-06,4.9622453e-05,8.441795e-06,6.123291e-05
2000-01-04,5.0249073e-06,1.0379574e-05,8.369611e-06,4.3371234e-05,8.605153e-06,3.5535515e-05
2000-01-05,9.567684e-07,8.622876e-06,8.575036e-06,3.1680993e-05,7.5823896e-06,4.2540312e-05
2000-01-06,3.843011e-06,6.86702e-06,8.841026e-06,5.499916e-05,1.2064535e-05,2.9515588e-05
2000-01-07,2.533303e-06,9.606971e-06,9.888448e-06,7.990307e-05,9.558018e-06,4.495083e-05
2000-01-08,1.9541321e-06,9.105989e-06,9.6643125e-06,7.073426e-05,1.1964074e-05,5.2695097e-05
2000-01-09,1.4697043e-06,7.857825e-06,7.5958974e-06,5.6183446e-05,8.381679e-06,3.0325384e-05
2000-01-10,3.8356243e-06,8.093519e-06,7.4483837e-06,4.1886895e-05,6.662491e-06,3.097824e-05
2000-01-11,3.9442016e-06,9.548463e-06,8.187963e-06,2.5187972e-05,6.9023527e-06,1.6912636e-05
2000-01-12,2.886708e-06,7.817593e-06,8.093832e-06,1.7085444e-05,7.983336e-06,1.0414248e-05
2000-01-13,3.1158834e-06,8.098823e-06,8.123552e-06,2.322075e-05,8.457398e-06,8.531585e-06
2000-01-14,5.891666e-06,9.371539e-06,9.486386e-06,2.7276232e-05,9.13036e-06,2.2716795e-05
2000-01-15,7.07945e-06,1.0032516e-05,9.8084e-06,2.96625e-05,9.834766e-06,1.894445e-05
2000-01-16,3.9170855e-06,7.4943327e-06,8.191895e-06,2.4074872e-05,9.604908e-06,1.3987035e-05
2000-01-17,3.1959548e-06,6.8736526e-06,7.672642e-06,1.7824499e-05,9.129621e-06,4.9819296e-06
2000-01-18,2.517323e-06,6.9412577e-06,8.907451e-06,2.0466283e-05,1.0501259e-05,2.517323e-06
2000-01-19,4.4210606e-06,7.5215444e-06,9.703366e-06,3.5023986e-05,1.2153131e-05,5.014363e-06
2000-01-20,3.4677014e-06,6.7033125e-06,8.901344e-06,3.828124e-05,1.1836603e-05,9.884314e-06
2000-01-21,3.7094742e-06,6.8223953e-06,7.5382586e-06,3.9990733e-05,9.718387e-06,1.2354067e-05
